Internid,Name,Email id,Gender,Phone number,Domain,Mode,Date Range,Total days,sod filled,eod filled,Attendance,Total Task,Task1 completed,Task1 score,Task2 completed,Task2 score,Task3 completed,Task3 score,Task4 completed,Task4 score,Count overall task,Task completion,performance score,performance status,Stipend,Hiring Recommendation
INT001,  Aarav Sharma,aarav(at)example.com,male,9876543210,data Science,online,1/3/2026-1/4/2026,31,31,31,100,4,Yes,95,Yes,87,Yes,85,Yes,94,4,100,90,Outstanding,15000,Hiring
INT002,Ishita Kapoor,ishita@example.com,Female,9876543211,web Dev,offline ,1/3/2026-1/4/2026,31,25,24,79,4,Yes,80,Yes,90,Yes,85,Yes,82,4,,84,Excellent,No stipend,intern for 1 month 
INT003,  Rohan Mehta,rohan@example.com,Male,9876543212,UI/UX,hybrid,1/3/2026-1/4/2026,31,10,12,35,4,No,0,No,0,Yes,40,No,0,1,25,10,Improvement,No stipend,intern for 1 month 
  INT004,Priya Rai,priya@example.com,female,9876543213,Python,online,1/3/2026-1/4/2026,31,31,30,98,4,Yes,92,Yes,85,Yes,90,Yes,95,4,100,91,Outstanding,15000,Hiring
INT005,  Amit Verma,amit(at)example.com,Male,9876543214,Java,offline ,1/3/2026-1/4/2026,31,22,20,68,4,Yes,70,Yes,82,No,0,Yes,65,3,75,54,Average,10000,Intern for 6 month
INT006,Sanya Malhotra,sanya@example.com,Female,9876543215,data Science,hybrid,1/3/2026-1/4/2026,31,31,31,,4,Yes,98,Yes,83,Yes,97,Yes,99,4,100,94,Outstanding,No stipend,intern for 1 month 
INT007,Vikram Singh,vikram@example.com,Male,9876543216,Web Dev,online,1/3/2026-1/4/2026,31,15,14,,4,No,0,Yes,86,No,0,No,0,1,25,22,Improvement,No stipend,intern for 1 month 
INT008,  Ananya Iyer,ananya@example.com,Female,9876543217,UI/UX,offline ,1/3/2026-1/4/2026,31,28,29,,4,Yes,88,Yes,81,Yes,85,Yes,90,4,100,86,Excellent,No stipend,intern for 1 month 
INT009,Rahul Jain,rahul(at)example.com,male,9876543218,Python,online,1/3/2026-1/4/2026,31,31,31,,4,Yes,94,Yes,82,Yes,96,Yes,92,4,100,91,Outstanding,No stipend,intern for 1 month 
INT010,Kavya Nair,kavya(at)example.com,Female,9876543219,Java,offline ,1/3/2026-1/4/2026,31,24,24,,4,Yes,75,Yes,85,Yes,70,Yes,78,4,100,77,Excellent,No stipend,intern for 1 month 
  INT011,  Arjun Das,arjun@example.com,Male,9876543220,Data Science,hybrid,1/3/2026-1/4/2026,31,30,30,,4,Yes,91,Yes,87,Yes,93,Yes,92,4,,91,Outstanding,No stipend,intern for 1 month 
INT012,  Sneha Reddy,sneha@example.com,Female,9876543221,web Dev,online,1/3/2026-1/4/2026,31,12,10,35,4,No,0,No,0,No,0,No,0,0,,0,Improvement,No stipend,intern for 1 month 
INT012,  Sneha Reddy,sneha@example.com,Female,9876543222,web Dev,offline ,1/3/2026-1/4/2027,31,12,10,35,4,No,0,No,0,No,0,No,0,0,,0,Improvement,No stipend,intern for 1 month 
INT013,Manish Goel,manish@example.com,Male,9876543222,UI/UX,hybrid,1/3/2026-1/4/2026,31,26,27,85,4,Yes,82,Yes,86,Yes,80,Yes,84,4,100,83,Excellent,15000,Hiring
  INT014,Pooja Hegde,pooja(at)example.com,female,9876543223,Python,online,1/3/2026-1/4/2026,31,31,31,100,4,Yes,96,Yes,86,Yes,95,Yes,97,4,100,94,Outstanding,15000,Hiring
INT015,  Varun Dhawan,varun@example.com,Male,9876543224,Java,offline ,1/3/2026-1/4/2026,31,20,18,61,4,Yes,65,No,90,Yes,60,Yes,55,3,75,68,Good,10000,Intern for 6 month
INT016,Deepika P.,deepika(at)example.com,Female,9876543225,Data Science,online,1/3/2026-1/4/2026,31,31,31,100,4,Yes,99,Yes,95,Yes,98,Yes,100,4,100,98,Outstanding,15000,Hiring
INT017,Sid M.,sid@example.com,Male,9876543226,Web Dev,offline ,1/3/2026-1/4/2026,31,28,28,90,4,Yes,87,Yes,82,Yes,89,Yes,86,4,100,86,Excellent,15000,Hiring
INT018,Kiara A.,kiara(at)example.com,Female,9876543227,UI/UX,hybrid,1/3/2026-1/4/2026,31,14,12,42,4,No,0,No,75,Yes,50,No,0,1,25,31,Improvement,No stipend,intern for 1 month 
INT019,Ayush K.,ayush@example.com,male,9876543228,Python,online,1/3/2026-1/4/2026,31,31,30,98,4,Yes,93,Yes,65,Yes,91,Yes,94,4,100,86,Excellent,15000,Hiring
  INT020,  Tara S.,tara(at)example.com,female,9876543229,Java,offline ,1/3/2026-1/4/2026,31,25,25,81,4,Yes,78,Yes,50,Yes,75,Yes,80,4,100,71,Excellent,10000,Intern for 6 month
INT021,Ranbir K.,ranbir@example.com,Male,9876543230,Data Science,hybrid,1/3/2026-1/4/2026,31,31,31,,4,Yes,95,Yes,85,Yes,94,Yes,95,4,100,92,Outstanding,,intern for 1 month 
INT022,Alia B.,alia(at)example.com,Female,9876543231,Web Dev,online,1/3/2026-1/4/2026,31,31,31,,4,Yes,91,Yes,77,Yes,92,Yes,90,4,100,88,Excellent,,intern for 1 month 
INT023,  Kartik A.,kartik(at)example.com,Male,9876543232,UI/UX,offline ,1/3/2026-1/4/2026,31,18,17,,4,Yes,55,No,0,Yes,60,No,0,2,50,29,Improvement,,intern for 1 month 
  INT024,Sara K.,sara@example.com,female,9876543233,Python,online,1/3/2026-1/4/2026,31,30,31,,4,Yes,89,Yes,66,Yes,88,Yes,89,4,100,83,Excellent,,intern for 1 month 
INT025,Vicky K.,vicky@example.com,Male,9876543234,Java,offline ,1/3/2026-1/4/2026,31,10,10,,4,No,0,No,0,No,0,No,0,0,,0,Improvement,,intern for 1 month 
INT025,Vicky K.,vicky@example.com,Male,9876543235,Java,hybrid,1/3/2026-1/4/2027,31,10,10,,4,No,0,No,0,No,0,No,0,0,,0,Improvement,,intern for 1 month 
  INT026,Katrina K.,katrina@example.com,Female,9876543235,Data Science,online,1/3/2026-1/4/2026,31,31,31,,4,Yes,97,Yes,50,Yes,96,Yes,98,4,100,,Improvement,,intern for 1 month 
INT027,Hrithik R.,hrithik@example.com,Male,9876543236,Web Dev,offline ,1/3/2026-1/4/2026,31,29,29,,4,Yes,86,Yes,89,Yes,84,Yes,87,4,100,,Improvement,,intern for 1 month 
  INT028,Kriti S.,kriti@example.com,female,9876543237,UI/UX,hybrid,1/3/2026-1/4/2026,31,31,31,,4,Yes,92,Yes,90,Yes,93,Yes,91,4,100,,Improvement,,intern for 1 month 
  INT029,Tiger S.,tiger@example.com,Male,9876543238,Python,online,1/3/2026-1/4/2026,31,15,12,,4,No,0,No,0,Yes,45,No,0,1,25,,Improvement,No stipend,intern for 1 month 
INT030,  Rashmika M.,rashmika@example.com,Female,9876543239,Java,offline ,1/3/2026-1/4/2026,31,27,27,,4,Yes,82,Yes,75,Yes,80,Yes,81,4,100,,Improvement,No stipend,intern for 1 month 
INT031,Vijay D.,vijay@example.com,male,9876543240,Data Science,online,1/3/2026-1/4/2026,31,31,31,,4,Yes,94,Yes,95,Yes,95,Yes,94,4,100,,Improvement,No stipend,intern for 1 month 
   INT032,Samantha R.,samantha@example.com,Female,9876543241,Web Dev,offline ,1/3/2026-1/4/2026,31,31,31,,4,Yes,91,Yes,86,Yes,90,Yes,92,4,100,,Improvement,No stipend,intern for 1 month 
INT033,  Prabhas R.,prabhas@example.com,Male,9876543242,UI/UX,hybrid,1/3/2026-1/4/2026,31,24,22,74,4,Yes,72,Yes,96,No,0,Yes,70,3,75,,Improvement,No stipend,intern for 1 month 
INT034,Nayanthara K.,nayan@example.com,Female,9876543243,Python,online,1/3/2026-1/4/2026,31,31,30,98,4,Yes,95,Yes,82,Yes,96,Yes,94,4,100,,Improvement,No stipend,intern for 1 month 
INT034,Nayanthara K.,nayan@example.com,Female,9876543244,Python,offline ,1/3/2026-1/4/2027,31,31,30,98,4,Yes,96,Yes,81,Yes,97,Yes,94,4,100,,Improvement,No stipend,intern for 1 month 
  INT035,Allu A.,allu@example.com,Male,9876543244,Java,hybrid,1/3/2026-1/4/2026,31,11,10,34,4,No,0,No,80,No,0,No,0,0,0,20,Improvement,No stipend,intern for 1 month 
INT036,Trisha K.,trisha@example.com,female,9876543245,Data Science,online,1/3/2026-1/4/2026,31,31,31,100,4,Yes,98,Yes,80,Yes,97,Yes,98,4,100,93,Outstanding,15000,Hiring
  INT037,Ram C.,ram(at)example.com,Male,9876543246,Web Dev,offline ,1/3/2026-1/4/2026,31,28,29,92,4,Yes,85,Yes,86,Yes,82,Yes,84,4,100,84,Excellent,15000,Hiring
INT038,Tamannaah B.,tam@example.com,Female,9876543247,UI/UX,online,1/3/2026-1/4/2026,31,30,30,97,4,Yes,89,Yes,82,Yes,90,Yes,88,4,100,87,Excellent,15000,Hiring
  INT039,Mahesh B.,mahesh@example.com,male,9876543248,Python,offline ,1/3/2026-1/4/2026,31,14,15,47,4,No,0,No,0,Yes,55,No,0,1,25,14,Improvement,No stipend,intern for 1 month 
INT040,Keerthy S.,keerthy(at)example.com,Female,9876543249,Java,hybrid,1/3/2026-1/4/2026,31,26,25,82,4,Yes,78,Yes,84,Yes,74,Yes,76,4,100,78,Excellent,10000,Intern for 6 month
   INT041,Yash G.,yash@example.com,Male,9876543250,Data Science,online,1/3/2026-1/4/2026,31,31,31,100,4,Yes,96,Yes,89,Yes,95,Yes,96,4,100,94,Outstanding,15000,Hiring
  INT042,  Rakul P.,rakul(at)example.com,Female,9876543251,Web Dev,offline ,1/3/2026-1/4/2026,31,31,31,100,4,Yes,93,Yes,70,Yes,94,Yes,92,4,100,87,Excellent,15000,Hiring
  INT043,  Nani K.,nani@example.com,Male,9876543252,UI/UX,hybrid,1/3/2026-1/4/2026,31,20,21,66,4,Yes,68,No,0,No,0,Yes,65,2,50,33,Improvement,No stipend,intern for 1 month 
  INT044,Sai P.,sai(at)example.com,Female,9876543253,Python,online,1/3/2026-1/4/2026,31,31,31,100,4,Yes,94,Yes,75,Yes,93,Yes,95,4,100,89,Excellent,15000,Hiring
  INT045,Dhanush K.,dhanush@example.com,Male,9876543254,Java,offline ,1/3/2026-1/4/2026,31,12,11,37,4,No,0,No,0,No,0,No,0,0,0,0,Improvement,No stipend,intern for 1 month 
INT046,Kajal A.,kajal@example.com,Female,9876543255,Data Science,online,1/3/2026-1/4/2026,31,31,31,100,4,Yes,97,Yes,70,Yes,98,Yes,97,4,100,91,Outstanding,15000,Hiring
  INT047,  Surya S.,surya@example.com,Male,9876543256,Web Dev,offline ,1/3/2026-1/4/2026,31,28,27,89,4,Yes,84,Yes,75,Yes,86,Yes,83,4,100,82,Excellent,15000,Hiring
INT048,Shruti H.,shruti(at)example.com,female,9876543257,UI/UX,hybrid,1/3/2026-1/4/2026,31,31,30,98,4,Yes,91,Yes,70,Yes,92,Yes,90,4,100,86,Excellent,15000,Hiring
INT049,Dulquer S.,dulquer@example.com,male,9876543258,Python,online,1/3/2026-1/4/2026,31,16,14,48,4,No,0,No,0,Yes,48,No,0,1,25,12,Improvement,No stipend,intern for 1 month 
  INT050,  Anushka S.,anushka@example.com,Female,9876543259,Java,offline ,1/3/2026-1/4/2026,31,29,29,94,4,Yes,88,Yes,79,Yes,87,Yes,89,4,100,86,Excellent,15000,Hiring
