Internid,Name,Email id,Gender,Phone number,Domain,Mode,Date Range,Total days,sod filled,eod filled,Attendance,Total Task,Task1 completed,Task1 score,Task2 completed,Task2 score,Task3 completed,Task3 score,Task4 completed,Task4 score,Count overall task,Task completion,performance score,performance status,Stipend,Hiring Recommendation
INT001,Aarav Sharma,aarav@example.com,Male,9876543210,Data science,online,1/3/2026-1/4/2026,31,31,31,100,4,Yes,95,Yes,87,Yes,85,Yes,94,4,100,90,Outstanding,15000,Hired as Employee
INT002,Ishita Kapoor,ishita@example.com,Female,9876543211,Web dev,offline ,1/3/2026-1/4/2026,31,25,24,79,4,Yes,80,Yes,90,Yes,85,Yes,82,4,100,84,Excellent,10000,Intern for 6 months
INT003,Rohan Mehta,rohan@example.com,Male,9876543212,Ui/ux,hybrid,1/3/2026-1/4/2026,31,10,12,35,4,No,0,No,0,Yes,40,No,0,1,25,10,Improvement,0,Intern for 1 month
INT004,Priya Rai,priya@example.com,Female,9876543213,Python,online,1/3/2026-1/4/2026,31,31,30,98,4,Yes,92,Yes,85,Yes,90,Yes,95,4,100,91,Outstanding,15000,Hired as Employee
INT005,Amit Verma,amit@example.com,Male,9876543214,Java,offline ,1/3/2026-1/4/2026,31,22,20,68,4,Yes,70,Yes,82,No,0,Yes,65,3,75,54,Average,10000,Intern for 6 months
INT006,Sanya Malhotra,sanya@example.com,Female,9876543215,Data science,hybrid,1/3/2026-1/4/2026,31,31,31,100,4,Yes,98,Yes,83,Yes,97,Yes,99,4,100,94,Outstanding,15000,Hired as Employee
INT007,Vikram Singh,vikram@example.com,Male,9876543216,Web dev,online,1/3/2026-1/4/2026,31,15,14,47,4,No,0,Yes,86,No,0,No,0,1,25,22,Improvement,0,Intern for 1 month
INT008,Ananya Iyer,ananya@example.com,Female,9876543217,Ui/ux,offline ,1/3/2026-1/4/2026,31,28,29,92,4,Yes,88,Yes,81,Yes,85,Yes,90,4,100,86,Excellent,15000,Hired as Employee
INT009,Rahul Jain,rahul@example.com,Male,9876543218,Python,online,1/3/2026-1/4/2026,31,31,31,100,4,Yes,94,Yes,82,Yes,96,Yes,92,4,100,91,Outstanding,15000,Hired as Employee
INT010,Kavya Nair,kavya@example.com,Female,9876543219,Java,offline ,1/3/2026-1/4/2026,31,24,24,77,4,Yes,75,Yes,85,Yes,70,Yes,78,4,100,77,Excellent,10000,Intern for 6 months
INT011,Arjun Das,arjun@example.com,Male,9876543220,Data science,hybrid,1/3/2026-1/4/2026,31,30,30,97,4,Yes,91,Yes,87,Yes,93,Yes,92,4,100,91,Outstanding,15000,Hired as Employee
INT012,Sneha Reddy,sneha@example.com,Female,9876543221,Web dev,online,1/3/2026-1/4/2026,31,12,10,35,4,No,0,No,0,No,0,No,0,0,0,0,Improvement,0,Intern for 1 month
INT013,Manish Goel,manish@example.com,Male,9876543222,Ui/ux,hybrid,1/3/2026-1/4/2026,31,26,27,85,4,Yes,82,Yes,86,Yes,80,Yes,84,4,100,83,Excellent,15000,Hired as Employee
INT014,Pooja Hegde,pooja@example.com,Female,9876543223,Python,online,1/3/2026-1/4/2026,31,31,31,100,4,Yes,96,Yes,86,Yes,95,Yes,97,4,100,94,Outstanding,15000,Hired as Employee
INT015,Varun Dhawan,varun@example.com,Male,9876543224,Java,offline ,1/3/2026-1/4/2026,31,20,18,61,4,Yes,65,No,90,Yes,60,Yes,55,3,75,68,Good,10000,Intern for 6 months
INT016,Deepika P.,deepika@example.com,Female,9876543225,Data science,online,1/3/2026-1/4/2026,31,31,31,100,4,Yes,99,Yes,95,Yes,98,Yes,100,4,100,98,Outstanding,15000,Hired as Employee
INT017,Sid M.,sid@example.com,Male,9876543226,Web dev,offline ,1/3/2026-1/4/2026,31,28,28,90,4,Yes,87,Yes,82,Yes,89,Yes,86,4,100,86,Excellent,15000,Hired as Employee
INT018,Kiara A.,kiara@example.com,Female,9876543227,Ui/ux,hybrid,1/3/2026-1/4/2026,31,14,12,42,4,No,0,No,75,Yes,50,No,0,1,25,31,Improvement,0,Intern for 1 month
